Location,Class
GAURIGANJ,Unclassified
GAUTAM PURI,Unclassified
GAUTAMBUDDHA NAGAR,Unclassified
GAUTAMBUDHHA NAGAR,Unclassified
GAYA,Unclassified
GHANAULI,Unclassified
GHAZIABAD,Unclassified
GHAZIPUR,Unclassified
GIDDARBAHA,Unclassified
GINGURTI,Unclassified
GIR SOMNATH,Unclassified
GIRIDIH,Unclassified
GOA (2 DIST.S,Unclassified
GODDA,Unclassified
GODHRA,Unclassified
GOLAGHAT,Unclassified
GOLAN,Unclassified
GOLMURI,Unclassified
GOMIA,Unclassified
GONDA,Unclassified
GONDIA,Unclassified
GOPALGANJ,Unclassified
GORAKHPUR,Unclassified
GORELA,Unclassified
GOTA,Unclassified
GOVANDI,Unclassified
GREATER KAILASH - II,Unclassified
GREATER NOIDA,Unclassified
GUDUR,Unclassified
GUJARAT (19 DIST.S,Unclassified
GUJARAT (6 DIST.S,Unclassified
GULBARGA,Unclassified
GULLARWALA,Unclassified
GULMOHAR PARK,Unclassified
GUMLA,Unclassified
GUNA,Unclassified
GUNDLAMACHNOOR,Unclassified
GUNTUR,Unclassified
GURUGRAM,Unclassified
GUWAHATI,Unclassified
GWALIOR,Unclassified
HAFLONG,Unclassified
HAILAKANDI,Unclassified
HAJIPUR,Unclassified
HALDIA,Unclassified
HALIYAL,Unclassified
HALOL,Unclassified
HALQUA PATHARI,Unclassified
HAMIRPUR,Unclassified
HANUMAN JUNCTION,Unclassified
HANUMANGARH,Unclassified
HANUMANTHAI,Unclassified
HAPUR,Unclassified
HARDA,Unclassified
HARDOI,Unclassified
HARIDWAR,Unclassified
HARIPAL,Unclassified
HARYANA (20 DIST.S,Unclassified
HARYANA (3 DIST.S,Unclassified
HASSAN,Unclassified
HATA,Unclassified
HATNOORA MANDAL,Unclassified
HAVERI,Unclassified
HAWRAH,Unclassified
HAZARIBAG,Unclassified
HAZIRA,Unclassified
HEBBAGUDI,Unclassified
HENSAL,Unclassified
HIMACHAL PRADESH (8 DIST.S,Unclassified
HIMMATNAGAR,Unclassified
HINGOLI,Unclassified
HISAR,Unclassified
HONNAKALASAPURA,Unclassified
HOOGHLY,Unclassified
HOOTAGALLI,Unclassified
HOSANGABAD,Unclassified
HOSHANGABAD,Unclassified
HOSHIARPUR,Unclassified
HOSKOTE,Unclassified
HOSPET,Unclassified
HOSUR,Unclassified
HOWRAH,Unclassified
HUBLI,Unclassified
HVERI,Unclassified
HYDERABAD,Unclassified
IDUKKI,Unclassified
IGATPURI,Unclassified
IIT ROORKEE,Unclassified
IMPHAL,Unclassified
IMPHAL EAST,Unclassified
IMPHAL WEST,Unclassified
INDORE,Unclassified
INDRAD,Unclassified
ITI KADI,Unclassified
JABALPUR,Unclassified
JADAVPUR,Unclassified
JADAYAM PALAYAM,Unclassified
JADCHERLA MANDAL,Unclassified
JAGATHSINGHPUR,Unclassified
JAGATPURA,Unclassified
JAGATSINGHPUR,Unclassified
JAGESHWAR,Unclassified
JAHANABAD,Unclassified
JAINPUR,Unclassified
JAIPUR,Unclassified
JAISALMER,Unclassified
JAJPUR,Unclassified
JALANDHAR,Unclassified
JALAUN,Unclassified
JALGAON,Unclassified
JALNA,Unclassified
JALORE,Unclassified
JALPAIGURI,Unclassified
JAMBUSAR,Unclassified
JAMMU,Unclassified
JAMNAGAR,Unclassified
JAMNAMARATHUR,Unclassified
JAMSHEDPUR,Unclassified
JAMUI,Unclassified
JANJGIR,Unclassified
JANJGIR-CHAMPA,Unclassified
JANTAR MANTAR,Unclassified
JAORA,Unclassified
JASHPUR,Unclassified
JASIDIH,Unclassified
JASOLA VIHAR,Unclassified
JATNI,Unclassified
JAUNPUR,Unclassified
JAWAHAR,Unclassified
JAYKAYPURAM,Unclassified
JEHANABAD,Unclassified
JERALDABARU,Unclassified
JHABUA,Unclassified
JHAGADIA,Unclassified
JHAJJAR,Unclassified
JHALAWAR,Unclassified
JHANSI,Unclassified
JHARKHAND (16 DIST.S,Unclassified
JHARLI,Unclassified
JHARSUGUDA,Unclassified
JHATTA,Unclassified
JHUNJHUNU,Unclassified
JHURKI,Unclassified
JIGANI,Unclassified
JIND,Unclassified
JINNARAM MANDALS,Unclassified
JIRIBAM,Unclassified
JOBNER,Unclassified
JODA,Unclassified
JODHPUR,Unclassified
JOGULAMBA GADWAL,Unclassified
JORHAT,Unclassified
JUGSALAI,Unclassified
JUNAGADH,Unclassified
K.G.CHAVADI,Unclassified
KABENNUR,Unclassified
KACHCHH,Unclassified
KACHHE,Unclassified
KADAIYA,Unclassified
KADAPA,Unclassified
KADI,Unclassified
KADIPANI,Unclassified
KADIYALI,Unclassified
KADIYAM,Unclassified
KAGAL,Unclassified
KAHARANI,Unclassified
KAITHAL,Unclassified
KAKINADA,Unclassified
KAKKANAD,Unclassified
KALABURAGI,Unclassified
KALAHANDI,Unclassified
KALAMASSERY,Unclassified
KALAPET,Unclassified
KALCHINI,Unclassified
KALIAPANI,Unclassified
KALKAJI,Unclassified
KALMESHWAR,Unclassified
KALMET THANDA,Unclassified
KALOL,Unclassified
KALYAN,Unclassified
KALYANI,Unclassified
KAMARAJAPURAM,Unclassified
KAMARHATI,Unclassified
KAMLESHWAR,Unclassified
KAMRUP,Unclassified
KAMRUP METROPOLITAN,Unclassified
KAMRUP RURAL,Unclassified
KANAKAPURA,Unclassified
KANCHEEPURAM,Unclassified
KANDAGHAT,Unclassified
KANDHAMAL,Unclassified
KANDIVALI,Unclassified
KANGRA,Unclassified
KANJIRAPPILLY,Unclassified
KANKER,Unclassified
KANKROLI,Unclassified
KANMAU,Unclassified
KANNADA,Unclassified
KANNADI,Unclassified
KANNAUJ,Unclassified
KANNUR,Unclassified
KANPUR,Unclassified
KANPUR DEHAT,Unclassified
KANPUR NAGAR,Unclassified
KANSBAHAL,Unclassified
KANYAKUMARI,Unclassified
KAPURTHALA,Unclassified
KARAIKAL,Unclassified
KARAIKUDI,Unclassified
KARAMSAD,Unclassified
KARAN NAGAR,Unclassified
KARAULI,Unclassified
KARELI,Unclassified
KARGIL,Unclassified
KARIMGANJ,Unclassified
KARIMNAGAR,Unclassified
KARJAN,Unclassified
KARJAT,Unclassified
KARKALA,Unclassified
KARKARDOOMA,Unclassified
KARNAL,Unclassified
KARNATAKA (15 DIST.S,Unclassified
KARNATAKA (2 DIST.S,Unclassified
KARUR,Unclassified
KARUVELAPPADI,Unclassified
KARWAR,Unclassified
KASARGOD,Unclassified
KASHINAGAR,Unclassified
KASHIPUR,Unclassified
KASHMIR,Unclassified
KASHMIR (12 DIST.S,Unclassified
KASIPALAYAM,Unclassified
KATAI,Unclassified
KATHA,Unclassified
KATHERU,Unclassified
KATHUA,Unclassified
KATIHAR,Unclassified
KATNI,Unclassified
KATOL,Unclassified
KATRA,Unclassified
KAUSHAMBI,Unclassified
KAVARAPATTU,Unclassified
KAWARDHA,Unclassified
KECHLA,Unclassified
KENDRAPADA,Unclassified
KENDRAPARA,Unclassified
KENDUJHAR,Unclassified
KENGERI,Unclassified
KEOJHAR,Unclassified
KEONJHAR,Unclassified
KERALA (1 DIST.,Unclassified
KERALA (4 DIST.S,Unclassified
KHAGARIA,Unclassified
KHALAPUR,Unclassified
KHAMMAM,Unclassified
KHANDAPADA,Unclassified
KHANDAWA,Unclassified
KHANDWA,Unclassified
KHANNA,Unclassified
KHANVA,Unclassified
KHANVEL,Unclassified
KHARADI,Unclassified
KHARAGPUR,Unclassified
KHARCHI,Unclassified
KHARGHAR,Unclassified
KHARGONE,Unclassified
KHEDA,Unclassified
KHEDOI,Unclassified
KHERANI,Unclassified
KHIJRABAD,Unclassified
KHODIYAR,Unclassified
KHOLA,Unclassified
KHOPOLI,Unclassified
KHORAJ,Unclassified
KHORDA,Unclassified
KHORDHA,Unclassified
KHUDUPUR,Unclassified
KHUMBHALGARH,Unclassified
KHUNTI,Unclassified
KHURDA,Unclassified
KHUSHKHERA,Unclassified
KHWABGAH,Unclassified
KIDI,Unclassified
KINNAUR,Unclassified
KISHENPUR,Unclassified
KISHTWAR,Unclassified
KOCHI,Unclassified
KODAGU,Unclassified
KODAIKANAL,Unclassified
KODAKARA,Unclassified
KODERMA,Unclassified
KODEYERI,Unclassified
KOHIMA,Unclassified
KOHLAPUR,Unclassified
KOKRAJHAR,Unclassified
KOLABIRA,Unclassified
KOLAR,Unclassified
KOLASIB,Unclassified
KOLHAPUR,Unclassified
KOLKATA,Unclassified
KOLLAM,Unclassified
KONDAGAON,Unclassified
KONDAPALLI,Unclassified
KONDHALI,Unclassified
KONKAN,Unclassified
KOPARGAON,Unclassified
KOPPAL,Unclassified
KORADGAON,Unclassified
KORAPUT,Unclassified
KORATAKAGERE,Unclassified
KORBA,Unclassified
KOSI KALAN,Unclassified
KOTA,Unclassified
KOTABOMMALI,Unclassified
KOTDWAR,Unclassified
KOTHAMUNCHUR,Unclassified
KOTPUTLI,Unclassified
KOTTAYAM,Unclassified
KOVVUR,Unclassified
KOZHIKODE,Unclassified
KRISHNA,Unclassified
KRISHNAGIRI,Unclassified
KRISHNAPURAM,Unclassified
KUDGI,Unclassified
KULGAM,Unclassified
KULLU,Unclassified
KUMARAKOM,Unclassified
KUMARGHAT,Unclassified
KUMBAKONAM,Unclassified
KUMBHALGARH,Unclassified
KUMBHARIYA,Unclassified
KUMREK,Unclassified
KUNDA,Unclassified
KUNDAL,Unclassified
KUNDLI,Unclassified
KUPWARA,Unclassified
KURKUMBH,Unclassified
KURLA,Unclassified
KURNOOL,Unclassified
KURUKSHETRA,Unclassified
KUSHINAGAR,Unclassified
KUTHAMBAKKAM,Unclassified
L,Unclassified
LACHHMANGARH,Unclassified
LAHAUL,Unclassified
LAHORI,Unclassified
LAKHIGAM,Unclassified
LAKHIMPUR,Unclassified
LAKHIMPUR KHERI,Unclassified
LAKHISARAI,Unclassified
LALITPUR,Unclassified
LAMBHUA,Unclassified
LATEHAR,Unclassified
LATUR,Unclassified
LAXMIPURA,Unclassified
LEH,Unclassified
LILUAH,Unclassified
LIMDA,Unclassified
LOCAL AREA MAHARASHTRA,Unclassified
LOHARDAGA,Unclassified
LOHIT,Unclassified
LONAVALA,Unclassified
LORMI,Unclassified
LOTE,Unclassified
LOWER DIBANG VALLEY,Unclassified
LUCKNOW,Unclassified
LUDHIANA,Unclassified
LUVARA,Unclassified
MAAN,Unclassified
MACHILIPATNAM,Unclassified
MADANSURI,Unclassified
MADHEPURA,Unclassified
MADHUBANI,Unclassified
MADHUPUR,Unclassified
MADHYA PRADESH (23 DIST.S,Unclassified
MADIPUR,Unclassified
MADURAI,Unclassified
MADURANTHAKAM,Unclassified
MAHAD,Unclassified
MAHANKALIGUDEM,Unclassified
MAHARAJGANJ,Unclassified
MAHARASHTRA (27 DIST.S,Unclassified
MAHARASHTRA (6 DIST.S,Unclassified
MAHASANSTHANAM,Unclassified
MAHBUBNAGAR,Unclassified
MAHENDRAGARH,Unclassified
MAHUKALA,Unclassified
MAINPURI,Unclassified
