Location,Intelligent_Class
CHINTAMANI,Town
CHITKUL,Village
CHITRADURGA,District
CHITRAKOOT,District
CHITRAKOOT DIST.,District
CHITTOOR,District
CHITTOOR DIST.,District
CHITTORGARH,District
CHNDIKHOLE,Town
CHOPANKI,Town
CHUBWA,Town
CHURACHANDPUR,Town
CHURU,District
CHURU DIST.,District
COCHIN,City
COIMBATORE,City
COIMBATORE DIST.,District
COORG,District
CORBETT,Town
CORTALIM,Village
CUDDALORE,District
CUDDALORE DIST.,District
CUTTACK,City
DABHASA,Village
DABHASA DIST.,District
DADAR (WEST,Town
DADHEDA,Town
DADRA,District
DADRI,Town
DAFAIPARA,Town
DAHANU,Town
DAHEDA,Town
DAHEJ,Town
DAHLEWADI,Village
DAHLIA,Town
DAHOD,District
DAKSHINA KANNADA,District
DALMAU DIST.,District
DAMOH,District
DANG,District
DANG DIST.,District
DANGS,District
DARBHANGA,District
DARJEELING,City
DARRAGH SALAAM ROAD,Town
DARRANG,District
DAUSA,District
DAUSOD,Village
DAVANAGERE,District
DEHRADUN,City
DELHI /NCR,Town
DEMNI,Town
DENKANIKOTTAI,District
DEOGARH,City
DEOJHAR,Town
DEORIA,District
DEULI,Town
DEVANAHALLI,Town
DEVAPUR DIST.,District
DEVBHOOMI,Town
DEVBHOOMI DWARKA,Town
DEVBHUMI DWARKA,Town
DEVIPURA,City
DEWAS,District
DEWAS DIST.,District
DHAMANPET,Town
DHAMARI,City
DHAMDHERE,Village
DHAMNI,Town
DHAMTARI,District
DHANBAD,City
DHANBAD EAST,Town
DHAPA,Village
DHAR,District
DHAR DIST.,District
DHARAMPUR,Town
DHARAMPUR VALSAD,Town
DHARAMSHALA,City
DHARAVI,Town
DHARMALEELAPURAM,Village
DHARMAPURI,District
DHARMAVARAM,City
DHARMAVARAM EAST,Village
DHARUHERA,Town
DHARWAD,District
DHAULA KUAN,Town
DHEMAJI,District
DHENKANAL,District
DHENKANAL DIST.,District
DHER,Village
DHODSAR,Town
DHOLPUR,City
DHORAN PARDI (TRIBAL AREA,Town
DHRANGADHRA,Town
DHUBRI,District
DHULE,District
DHULIYAN,Town
DIAMOND HARBOUR ROAD,Town
DIBANG VALLEY,District
DIBRUGARH,City
DIBRUGARH DIST.,District
DIBRUGARH SIVASAGAR,Town
DIFFERENT LOCATIONS IN UTTARAKHAND,Town
DIFFERENT VILLAGES OF DIST. OF NAGPUR,District
DIMAKUCHI DIST.,District
DIMAPUR,District
DINDIGUL,District
DINDIGUL DIST.,District
DINDORI,District
DIST.NAGPUR,District
DIST.S IN MAHARASHTRA,District
DIST.S IN UPPER,District
DIST.S OF ERNAKULAM THIRUVALLA CALICUT,District
DIST.S OF NAGPUR,District
DOBHI,District
DODA,District
DODDABANAHALLI,City
DODDAGUBBI,City
DOLVI,Village
DOMBIVALI,City
DONA PAULA,Town
DONGARGAON,City
DONGARGARG,Town
DONGRI,City
DORBA,Town
DR.HEDGEWAR RUGNALAYA,Town
DUBHEWADI,Village
DULIAJAN DIBRUGARH,Town
DUNGARPUR,Town
DUNLOD,Town
DURG,District
DURGAPUR,City
DWARKA,Town
EAST,Town
EAST CHAMPANER,Town
EAST CHAMPARAN,District
EAST DELHI,City
EAST GODAVARI,District
EAST GODAVARI DIST.,District
EAST GODAWARI,Town
EAST KHASI HILLS,District
EAST MEDINIPUR,Town
EAST MIDNAPORE,Town
EAST SIANG,District
EAST SIKKIM,Town
EAST SINGHBHUM,District
EAST SINGHBUM,Town
EDKARN AMBAGAR,Town
EGMORE,Town
EKLARI,City
EKNATHWADI,Village
ELAVUR,Town
ELURU,City
ENNORE,Town
ERNAKULAM,District
ERNAKULAM DIST.,District
ERODE,District
ERODE DIST.,District
ERODE DIST.S,District
ERRAGUNTA,Village
ESWARAPURAM,Village
ETAH,District
ETALIN,Village
ETAWAH,District
FAIZABAD,City
