Location,Class,Intelligent_Class
GOLMURI,Unclassified,District
GONDA,Unclassified,District
GONDIA,Unclassified,City
GOPALGANJ,Unclassified,District
GOPALPUR,Unclassified,District
GORAKHPUR,Unclassified,District
GOVANDI,Unclassified,Town
GRAM,Unclassified,Town
GREATER KAILASH - I,Unclassified,Town
GREATER NOIDA,Unclassified,City
GUDALUR VALLEY,Unclassified,Village
GUDUR,Unclassified,Town
GUDUVANCHERRY,Unclassified,Town
GULBARGA,Unclassified,City
GULMOHAR PARK,Unclassified,Town
GUMLA,Unclassified,District
GUMMADIPUNDI,Unclassified,Town
GUNA,Unclassified,District
GUNTUR,Unclassified,City
GURDASPUR,Unclassified,District
GURUGRAM,Unclassified,City
GUWAHATI,Unclassified,City
GWALIOR,Unclassified,City
HABRA,Unclassified,City
HAILAKANDI,Unclassified,Town
HALDA,Unclassified,Village
HALDIA,Unclassified,City
HALIYAL,Unclassified,Town
HALOL,Unclassified,Village
HAMIRPUR,Unclassified,District
HANUMAN JUNCTION,Unclassified,Town
HAPUR,Unclassified,District
HARDA,Unclassified,District
HARDOI,Unclassified,District
HARIA,Unclassified,City
HARIDWAR,Unclassified,District
HARIPAL,Unclassified,District
HASANPUR,Unclassified,Town
HASSAN,Unclassified,District
HATA,Unclassified,Town
HATHRAS,Unclassified,District
HAVERI,Unclassified,District
HAZARIBAG,Unclassified,City
HAZIRA,Unclassified,Village
HEBBAGODI,Unclassified,City
HENKANAL,Unclassified,Town
HIMMATNAGAR,Unclassified,Village
HINGANA,Unclassified,City
HINGOLI,Unclassified,District
HINJEWADI,Unclassified,Town
HISAR,Unclassified,District
HOBLI,Unclassified,City
HOOGHLY,Unclassified,District
HOSAD,Unclassified,Village
HOSHANGABAD,Unclassified,City
HOSHIARPUR,Unclassified,District
HOSPET,Unclassified,City
HOSUR,Unclassified,Town
HOWRAH,Unclassified,City
HUBLI,Unclassified,City
HUGLI,Unclassified,District
HUSKUR,Unclassified,Town
HYDERABAD,Unclassified,City
IDUKKI,Unclassified,District
IGATPURI,Unclassified,Town
IGT,Unclassified,Town
IIT ROORKEE,Unclassified,Town
IMPHAL,Unclassified,City
INDORE,Unclassified,City
ISHWAR NAGAR,Unclassified,Town
ITANAGAR,Unclassified,City
JABALPUR,Unclassified,City
JACKKE,Unclassified,Town
JAGANNATHAPURAM,Unclassified,Village
JAGATHSINGHPUR,Unclassified,Town
JAGATHY,Unclassified,Town
JAGATSINGHPUR,Unclassified,Town
JAGDALPUR,Unclassified,City
JAGDISHPUR,Unclassified,District
JAHANABAD,Unclassified,City
JAINPUR,Unclassified,City
JAIPUR,Unclassified,City
JAIRAMPUR,Unclassified,City
JAISALMER,Unclassified,City
JAJPUR,Unclassified,District
JALANDHAR,Unclassified,District
JALAUN,Unclassified,District
JALGAON,Unclassified,District
JALNA,Unclassified,District
JALORE,Unclassified,District
JALPAIGURI,Unclassified,District
JAMBHUL,Unclassified,Village
JAMBUSAR,Unclassified,Town
JAMMU,Unclassified,City
JAMNAGAR,Unclassified,City
JAMO,Unclassified,Town
JAMSHEDPUR,Unclassified,City
JAMUGAM,Unclassified,Town
JANJGIR,Unclassified,Town
JANJGIR-CHAMPA,Unclassified,District
JANKI KUND,Unclassified,Town
JASDAN,Unclassified,Village
JASHPUR,Unclassified,District
JASIDIH,Unclassified,Town
JASWANTGARH,Unclassified,Village
JAUNPUR,Unclassified,District
JAVADHU HILLS,Unclassified,Town
JAWAHAR NAGAR,Unclassified,Town
JAWHAR,Unclassified,Town
JAYKAYPURAM,Unclassified,Village
JEHANABAD,Unclassified,District
JERALDABARU,Unclassified,Town
JEYPORE,Unclassified,Town
JHABUA,Unclassified,District
JHAJJAR,Unclassified,District
JHALAWAR,Unclassified,District
JHANDEWALAN,Unclassified,Town
JHANSI,Unclassified,District
JHARLI,Unclassified,Village
JHARSUGUDA,Unclassified,District
JHUNJHUNU,Unclassified,District
JHUNJHUNU DIST.,Unclassified,District
JIND,Unclassified,City
JIRIBAM,Unclassified,Town
JOBNER,Unclassified,Town
JODA,Unclassified,District
JODHPUR,Unclassified,City
JOJOBERA,Unclassified,Village
JORHAT,Unclassified,City
JUHU VILEPARLE,Unclassified,Town
JUNAGADH,Unclassified,City
KABIR NAGAR,Unclassified,Town
KABIRDHAM,Unclassified,District
KACHCHH,Unclassified,District
KACHHE,Unclassified,Town
KACHIGAM,Unclassified,Town
KADAPA,Unclassified,City
KADAPAKKAM,Unclassified,Town
KADI,Unclassified,Town
KADIPANI,Unclassified,Town
KAGAL,Unclassified,Town
KAIMUR,Unclassified,District
KAITHAL,Unclassified,City
KAIZALEY,Unclassified,Town
KAKINADA,Unclassified,City
KALA AMB,Unclassified,Town
KALAHANDI,Unclassified,District
KALAMASSERY,Unclassified,Town
KALKAJI,Unclassified,Town
KALMESHWAR,Unclassified,Town
KALOL,Unclassified,City
KALYAN,Unclassified,District
KALYANI,Unclassified,City
KAMARHATI,Unclassified,Town
KAMRUP,Unclassified,District
KAMRUP METROPOLITAN,Unclassified,District
KAMRUP RURAL,Unclassified,Town
KANAKAPURA,Unclassified,Town
KANCHAL FALIYA,Unclassified,Town
KANCHEEPURAM,Unclassified,City
KANDA,Unclassified,District
KANDHAMAL,Unclassified,District
KANGRA,Unclassified,District
KANKE,Unclassified,District
KANKER,Unclassified,Town
KANKROLI,Unclassified,Town
KANNAGI NAGAR,Unclassified,Town
KANNUR,Unclassified,City
KANOD,Unclassified,City
KANPUR,Unclassified,City
KANPUR DEHAT,Unclassified,District
KANSBAHAL,Unclassified,Town
KANYAKUMARI,Unclassified,Town
KAPURTHALA,Unclassified,District
KARAIKAL,Unclassified,Town
KARAMSAD,Unclassified,Village
KARAULI,Unclassified,District
KARCHAM,Unclassified,Town
KARELI,Unclassified,Town
KARGIL,Unclassified,Town
KARIMNAGAR,Unclassified,City
KARJAN,Unclassified,Town
